"year";"title";"score";"abstract";"Director";"cast";"genres";"link"
2024;"Friendship";3,5;"A suburban dad falls hard for his charismatic new neighbor.";"Andrew DeYoung";"Tim Robinson; Kate Mara; Jack Dylan Grazer; Paul Rudd; Rick Worthy; Whitmer Thomas; Daniel London; Eric Rahill; Jacob Ming-Trent; Billy Bryk; Meredith Garretson; Ari Dalbert; Josh Segarra; Raphael Sbarge; Omar Torres; Jason Veasey; Jon Glaser; Carmen Christopher; Mike J Mills; Alex Webb; Juri Henley-Cohn; Desi Waters; Brandi Burkhardt; Andhy Méndez; John Cenatiempo; Teren Carter; Ivy Wolk; Conner O'Malley; Craig Frank; James Daly";"Comedy";"https://letterboxd.com/film/friendship-2024/"
2025;"The Long Walk";3,64;"In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.";"Francis Lawrence";"Cooper Hoffman; David Jonsson; Garrett Wareing; Tut Nyuot; Charlie Plummer; Ben Wang; Jordan Gonzalez; Joshua Odjick; Mark Hamill; Roman Griffin Davis; Judy Greer; Josh Hamilton; Daymon Wrightly; Samuel Clark; Keenan Lehmann; Noah de Mel; Jack Giffin; Teagan Stark; Marina Stephenson Kerr; Athena Barten; Dale Neri; Thamela Mpumlwana; Emmanuel Oderemi; Adam Hurtig; Gabriel Daniels; Cameron MacConomy; Maricar Faderon; Leo King; Ruger Red Barnes; David MacInnis; Toni Reimer; Lam An; Kara Myskiw; Izabella Raven; Ken Steen; Gaaldino";"Horror; Thriller";"https://letterboxd.com/film/the-long-walk-2025/"
2024;"Abigail";3,04;"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl.";"Matt Bettinelli-Olpin";"Melissa Barrera; Dan Stevens; Alisha Weir; William Catlett; Kathryn Newton; Kevin Durand; Angus Cloud; Giancarlo Esposito; Matthew Goode";"Horror; Thriller";"https://letterboxd.com/film/abigail-2024/"
2023;"The Marvels";2,5;"When her duties send her to an anomalous wormhole linked to a Kree revolutionary, Carol’s powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.";"Nia DaCosta";"Brie Larson; Teyonah Parris; Iman Vellani; Samuel L. Jackson; Zawe Ashton; Gary Lewis; Park Seo-jun; Zenobia Shroff; Mohan Kapur; Saagar Shaikh; Leila Farzad; Abraham Popoola; Lashana Lynch; Tessa Thompson; Daniel Ings; Alex Hughes; Shardiah Ssagala; Cecily Cleeve; Remi Dabiri-McQuaid; Ffion Jolly; Kennedy McCallum-Martin; Savannah Skinner-Henry; Rachel John; Daniel Monteiro; Kya Garwood; Fikayo Ifarajimi; Shereen Walker; Hansen Burton; Hailee Steinfeld; Kelsey Grammer; Jett Klyne";"Science Fiction; Adventure; Action";"https://letterboxd.com/film/the-marvels/"
2020;"The Devil All the Time";3,32;"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.";"Antonio Campos";"Tom Holland; Robert Pattinson; Bill Skarsgård; Riley Keough; Jason Clarke; Sebastian Stan; Haley Bennett; Harry Melling; Eliza Scanlen; Mia Wasikowska; Douglas Hodge; Kristin Griffith; Pokey LaFarge; Donald Ray Pollock; Banks Repeta; Emilio Subercaseaux Campos; David Atkinson; Matthew Vaughn; Billy Joe Bradshaw; Gregory Kelly; David Maldonado; Mark Jeffrey Miller; Ryan Anthony Williams; Wes Robinson; Todd Barnett; Michael Harding; Lucy Faust; Abby Glover; Kelly Lind; Cotton Yancey; Adam Fristoe; Morganna Bridgers; Karson Kern; Ivan Hoey Jr.; Zack Shires; Drew Starkey; Caleb J. Thaggard; Ever Eloise Landrum; Given Sharp; Cory Scott Allen; Emma Coulter; Cody Jones; Madelyn Wall; Jason Collett; Eric Mendenhall; Teddy Cole; Michael H. Cole; Cort Chandler; Bruce Cooper; Daniel James Vaughn; Edward Hall; Jeff McCarthy; Santino Fontana; John Rue; Phillip DeVona; Kevin Waterman; Sarah Hamff; Shannon Frye; James H. Keating; Scott Rapp; Lawrence Hinkle; Kyle Sawyer; Emily Towles; Meagan Bown; Ben Bailey; Beth Scott; Kacey Hayes; Myles Phillips; Rebecca Douglas; Leslie Sides; Katie Flaherty; Matt Powell; Morgan Monroe; Jeff McKinney; Jason Charles Hill; Andrew Young";"Crime; Drama; Thriller";"https://letterboxd.com/film/the-devil-all-the-time/"
2023;"The Creator";3,28;"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.";"Gareth Edwards";"John David Washington; Madeleine Yuna Voyles; Gemma Chan; Allison Janney; Ken Watanabe; Sturgill Simpson; Amar Chadha-Patel; Marc Menchaca; Robbie Tann; Ralph Ineson; Michael Esper; Veronica Ngo; Ian Verdun; Daniel Ray Rodriguez; Rad Pereira; Syd Skidmore; Karen Aldridge; Teerawat Mulvilai; Leanna Chea; Sahatchai Chumrum; Apiwantana Duenkhao; Mariam Khummaung; Natthaphong Chaiyawong; Tawee Teesura; Kulsiri Thongrung; Charlie McElveen; Chananticha Chaipa; Sawanee Utoomma; Monthatip Suksopha; Brett Bartholomew; Jeb Kreager; Mackenzie Lansing; Stephen Howard Thomas; Agneta Catarina Békassy de Békas; Brett Parks; Phaithoon Wanglomklang; Ron Weaver; Mav Kang; John Garrett Mahlmeister; Scott Thomas; Kandanai Chotikapracal; Niko Rusakov; James David Henry; Eoin O'Brien; Dana Blouin; Anjana Ghogar; Pongsanart Vinsiri; Molywon Phantarak; Chalee Sankhavesa; Pat Skelton; Elliot Berk; Art Ybarra";"Action; Science Fiction; Adventure";"https://letterboxd.com/film/the-creator-2023/"
2023;"Knock at the Cabin";2,86;"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.";"M. Night Shyamalan";"Dave Bautista; Jonathan Groff; Ben Aldridge; Nikki Amuka-Bird; Rupert Grint; Abby Quinn; Kristen Cui; McKenna Kerrigan; Ian Merrill Peakes; Denise Nakano; Rose Luardo; Billy Vargus; Satomi Hofmann; Kevin Leung; Lee Avant; Odera Adimorah; Kat Murphy; Kittson O'Neill; Lya Yanne; M. Night Shyamalan; Clare Louise Frost; Hanna Gaffney; Monica Fleurette; Saria Chen";"Mystery; Horror; Thriller";"https://letterboxd.com/film/knock-at-the-cabin/"
2021;"Fear Street: 1978";3,47;"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns’ history come alive.";"Leigh Janiak";"Sadie Sink; Emily Rudd; Ryan Simpkins; McCabe Slye; Gillian Jacobs; Kiana Madeira; Benjamin Flores Jr.; Ted Sutherland; Meghan Packer; Matthew Zuk; Olivia Scott Welch; Brandon Spink; Chiara Aurelia; Marcelle LeBlanc; Eden Campbell; Michael Provost; Drew Scheid; Jacqi Vene; Sam Brooks; Jordana Spiro; Jason Edwards; Paul Teal; Alex Huff; Dylan Gage; Jayden Griffin; Jordyn DiNatale; Kevin Waterman; Emily Brobst; Keil Oakley Zepernick; Michael Chandler; Lana Spraley; Ja'rell Anderson; Elizabeth Scopel; Kenneth Trujillo; Ashley Zukerman; Julia Rehwald; Fred Hechinger; Christopher Talbert";"Horror; Mystery";"https://letterboxd.com/film/fear-street-1978/"
2024;"Venom: The Last Dance";2,52;"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie’s last dance.";"Kelly Marcel";"Tom Hardy; Chiwetel Ejiofor; Juno Temple; Rhys Ifans; Stephen Graham; Peggy Lu; Clark Backo; Alanna Ubach; Cristo Fernández; Jared Abrahamson; Hala Finley; Dash McCloud; Andy Serkis; Reid Scott; Jack Brady; Ivo Nandi; Jake Allyn; Otis Winston; Jacob Tomuri; Brooke Carter; Fflyn Edwards; Elijah Isaiah Cook; Norma Butikofer; Elizabeth Cook; Martin McDougall; Angie Hsu; Jade Nicholson-Lamb";"Action; Science Fiction; Adventure";"https://letterboxd.com/film/venom-the-last-dance/"
2024;"Look Back";4,26;"Popular, outgoing Fujino is celebrated by her classmates for her funny comics in the class newspaper. One day, her teacher asks her to share the space with Kyomoto, a truant recluse whose beautiful artwork sparks a competitive fervor in Fujino. What starts as jealousy transforms when Fujino realizes their shared passion for drawing.";"Kiyotaka Oshiyama";"Yuumi Kawai; Mizuki Yoshida; Yoichiro Saito; Kota Oka; Kureha Maki; Koya Yoshihashi; Takeshi Miyajima; Daisuke Takahashi; Jun Ito; Kaori Takeuchi; Masumi Taira; Rina Endou; Taisei Miyagishi; Minori Takanami; Shinnosuke Tokudome; Nanaka Shougaki; Haruto Shima; Sakura Tsutsumi; Seira Ina; Toshiyuki Morikawa; Maaya Sakamoto";"Animation; Drama";"https://letterboxd.com/film/look-back-2024/"
2021;"The Matrix Resurrections";2,68;"Plagued by strange memories, Neo’s life takes an unexpected turn when he finds himself back inside the Matrix.";"Lana Wachowski";"Keanu Reeves; Carrie-Anne Moss; Yahya Abdul-Mateen II; Jonathan Groff; Jessica Henwick; Neil Patrick Harris; Jada Pinkett Smith; Priyanka Chopra Jonas; Christina Ricci; Lambert Wilson; Andrew Lewis Caldwell; Toby Onwumere; Max Riemelt; Joshua Grothe; Brian J. Smith; Eréndira Ibarra; Michael X. Sommers; L. Trey Wilson; Mumbi Maina; Max Mauff; Purab Kohli; Freema Agyeman; Sabrina Strehl; Andrew Rothney; Cooper Rivers; Esther Silex; Frank Isom; Leo Sheng; Telma Hopkins; John Gaeta; Donald Mustard; Kim Libreri; Joe Mazza; Chad Stahelski; Julian Grey; Gaige Chaturantabut; Tiger Chen Hu; Volkhart Buff; Amadei Weiland; Stephen Dunlevy; Ellen Hollman; Ian Pirie; Nicolas de Pruyssenaere; Felix Quinton; Aaron Pina; Dani Swan; London Breed; Steven Roy; Mercy Malick; Juval Dieziger; James McTeigue; Sarah McTeigue; William W. Barbour; Kenny Beers; Thomas Dalby; James D. Weston II; Michael J. Gwynn";"Adventure; Science Fiction; Action";"https://letterboxd.com/film/the-matrix-resurrections/"
2023;"Sing Sing";4,3;"Divine G, imprisoned at Sing Sing for a crime he didn’t commit, finds purpose by acting in a theatre group alongside other incarcerated men in this story of resilience, humanity, and the transformative power of art.";"Greg Kwedar";"Colman Domingo; Clarence Maclin; Sean San Jose; Paul Raci; David ""Dap"" Giraudy; Patrick ""Preme"" Griffin; Mosi Eagle; James ""Big E"" Williams; Sean Dino Johnson; Brent Buell; Michael Capra; Joanna Chan; Cecily Lyn; Johnny Simmons; Katherine Vockins; Reynaldo Gayle; Sharon Washington; Dario Peña; Miguel Valentin; Jon Adrian ""JJ"" Velazquez; Pedro Cotto; Camillo ""Carmine"" LoVacco; Cornell ""Nate"" Alston; John Divine G Whitfield";"Drama";"https://letterboxd.com/film/sing-sing-2023/"
2024;"Megalopolis";2,3;"Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.";"Francis Ford Coppola";"Adam Driver; Giancarlo Esposito; Nathalie Emmanuel; Aubrey Plaza; Shia LaBeouf; Jon Voight; Laurence Fishburne; Talia Shire; Jason Schwartzman; Kathryn Hunter; Grace VanderWaal; Chloe Fineman; James Remar; D. B. Sweeney; Isabelle Kusman; Bailey Coppola; Madeleine Gardella; Balthazar Getty; Romy Mars; Haley Sims; Dustin Hoffman; Sonia Ammar; Neri Oxman; AJ Caba; Michael Mourra; Charlie Talbert; Tommy Lee Driver; Caroline Bloom; George Dillard; Donald Pitts; Philip Dido; Gayle Hooker; James Keane; Sean Hankinson; Andrew Ayala; Ritwik Chatterjee; Kendra Stout; Max Bojorquez; Renee McNeil; Suzan Norton; Vince Pasani; Robert Kim; Laura Hawkins; Henry Louis Adams Jr.; Paul Pudney; Vanessa Nichole; Nikki Rush; Tammy Hurtado; Emma Anne Wedemeyer; Ivy Lightsey; Art Newkirk; Savannah Powers; Emily Berry; Adolf Hitler; Benito Mussolini; Matt Gulbranson";"Drama; Science Fiction";"https://letterboxd.com/film/megalopolis-2024/"
2020;"Wonder Woman 1984";2,05;"A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.";"Patty Jenkins";"Gal Gadot; Chris Pine; Kristen Wiig; Pedro Pascal; Robin Wright; Connie Nielsen; Lilly Aspell; Amr Waked; Kristoffer Polaha; Natasha Rothwell; Ravi Patel; Oliver Cotton; Lucian Perez; Gabriella Wilde; Kelvin Yu; Stuart Milligan; Shane Attwooll; David Al-Fahmi; Kevin Wallace; Wai Wong; Doutzen Kroes; Hari James; Betty Adewole; Camilla Roholm; Jessie Graff; Brontë Lavine; Briony Scarlett; Jade Johnson; Miranda Chambers; Moe Sasegbon; Gwendolyn Osborne-Smith; Hayley Warnes; Lyon Beckwith; Ryan Watson; Jimmy Burke; Brandon Thane Wilson; Oakley Bull; Andy Riddle; Rey Rey Terry; Tina Edwards; Bill Debrason; Rick Kain; Vickie Warehime; Mike D. Anderson; Christopher Crutchfield Walker; Gina Grinkemeyer; Cassandra Newman; Valerie Leonard; Susan Smythe; Bob Cusack; John Bucy; Patrick Gover; Tracy Tobin; Mitch Holson; Ashley Gladden; Spencer Trinwith; Parker Damm; Caroline Coleman; Summer Snead; Tori Beverly; Raquel Merediz; Vince Eisenson; Asim Chaudhry; Danny Morgan; Tessa Bonham Jones; Philip Philmar; Mensah Bediako; Russell Barnett; Peter Brooke; Jarren Dalmeda; Jasmine Clark; Jonathan Ajayi; Tomos Vaughan-Williams; Avi Rothman; Belinda Mayne; Orlando James; Bruce McKinnon; Ed Birch; Aykut Hilmi; Zaydun Khalaf; Nerea Palacios; Altahay Ramos Martín; Joanne Henry; Patrick Lyster; Sam Sheridan; Paul Boyd; Vincent Jerome; Akie Kotabe; Kenneth Jay; Jasmine Hyde; Paul McQuaid; Gabriel Constantin; Alex Delescu; Mish Boyko; Constantine Gregory; Michael Poole; Joe Palka; Jean H. Miller; Mike Sengelow; Paul Connaughton; Wendy Albiston; Rhonda Overby; Lambro Demetriou; Jonny Barry; Luis Torrecilla; Sarah Barlondo; Matt Costello; Evan Bittner; Archie L. Harris Jr.; Stephanie Waters; Thomas Clay Strickland; Chi-Lin Nim; Michael Kaurene; Michael Gabel; Orlando Gonzalez; Dan De Luca; Ahmed Hussien; Tony Zarouel; Naithan Ariane; Joel Morris; Michael Salami; Kosha Engler; Asa Sheridan; Alma Varsano; Maya Varsano; Jaron Varsano; Tilly Winford; Victoria Broom; Hamza Siddique; Colin Stinton; Andy Cheung; Katharine Pickering; Karis McCabe; Saskia Neville; Jenny Pacey; Mikayla-Jade Barber; Candice Carbine; Donna Forbes; Chantal Nell; Lynda Carter; Maggie Lovitt; Chad Tyler; Lucas N. Hall; Mimi Michaela Konoza; Brittney Aleah; Rachel Sophia-Anthony; David Sullivan";"Action; Adventure; Fantasy";"https://letterboxd.com/film/wonder-woman-1984/"
2024;"Saturday Night";3,47;"At 11:30pm on October 11, 1975, a ferocious troupe of young comedians and writers changed television forever. This is the story of what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live.";"Jason Reitman";"Gabriel LaBelle; Rachel Sennott; Cory Michael Smith; Ella Hunt; Dylan O'Brien; Emily Fairn; Matt Wood; Lamorne Morris; Kim Matula; Tommy Dewey; Cooper Hoffman; Nicholas Braun; Andrew Barth Feldman; Finn Wolfhard; Willem Dafoe; Stephen Badalamenti; Ellen Boscov; John Dinello; J.K. Simmons; Presley Coley; Kaia Gerber; Catherine Curtin; Nicholas Podany; Corinne Britti; Justin Matthew Smith; Matthew Rhys; Taylor Gray; Leander Suleiman; Mcabe Gregg; Kirsty Woodward; Jon Batiste; Naomi McPherson; Brian Welch; Paul Rust; Josh Brener; Tracy Letts; Brad Garrett; Rowan Joseph; Billy Bryk; Abraham Hsu; Parker Wierling; James Logan; Robert Wuhl; Drew Scheid; Martin Garner; Jeff Pope; Jef Holbrook; Jacob Berger; Casey Nicholas Price; Cassidy Alexandra Kahler; Colby West; Peter Dawson; Mike Platarote Jr.; Rob Barnes; Grace Barlow; Alia Guidry; Christian A. Jenkins; Raiford Jackson; Aidan Patrick Griffin; Mark Cyr; William C. Tate; John Ross; Brandon Niederauer; Alvin Ford Jr.; Cory Henry; Nicholas Clark; Max Townsley; Alexander Glyn Bennett; Robert Entous; Caroline Raad; Zane Shaw; Carter Colvin; Tristan McGlauchlen; Arlo Lachenmeyer; John Mayo; Lauren Shelfo; Dalton Suskie; McKinley Horn; Anna East; Rionna Luck; Jamie Day; Ted Williams; Jeff Witzke; Dylan Bickel";"Drama; Comedy";"https://letterboxd.com/film/saturday-night-2024/"
2025;"Ballerina";3,32;"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.";"Len Wiseman";"Ana de Armas; Keanu Reeves; Ian McShane; Anjelica Huston; Gabriel Byrne; Catalina Sandino Moreno; Ava McCarthy; Juliet Doherty; Norman Reedus; Lance Reddick; Sharon Duncan-Brewster; David Castañeda; Victoria Comte; Robert Maaser; Sooyoung Choi; Jung Doo-hong; Anne Parillaud; Marc Cram; Rila Fukushima; Abraham Popoola; Magdalena Šittová; Waris Ahluwalia; Daniel Bernhardt; Anna Schmidtmajerová; Emílie Páclová; Jackson Spidell; James Beaumont; Tracie Bennett; Stephanie Brush; Mirko Marchesi; Zac Ladkin";"Action; Crime; Thriller";"https://letterboxd.com/film/ballerina-2025/"
2021;"Raya and the Last Dragon";3,22;"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.";"Carlos López Estrada";"Kelly Marie Tran; Awkwafina; Gemma Chan; Alan Tudyk; Izaac Wang; Benedict Wong; Daniel Dae Kim; Thalia Tran; Sandra Oh; Dichen Lachman; Patti Harrison; Lucille Soong; Jona Xiao; Sung Kang; Ross Butler; François Chau; Paul Yen; Ren Hanami; Sierra Katow; Gordon Ip; Jonathan Park; Vincent Rodriguez III; Kayla Melikian; Lucian Perez";"Animation; Adventure; Family; Action; Fantasy";"https://letterboxd.com/film/raya-and-the-last-dragon/"
2024;"The Apprentice";3,61;"A young Donald Trump, eager to make his name as a hungry scion of a wealthy family in 1970s New York, comes under the spell of Roy Cohn, the cutthroat attorney who would help create the Donald Trump we know today. Cohn sees in Trump the perfect protégé—someone with raw ambition, a hunger for success, and a willingness to do whatever it takes to win.";"Ali Abbasi";"Sebastian Stan; Jeremy Strong; Martin Donovan; Maria Bakalova; Catherine McNally; Charlie Carrick; Ben Sullivan; Mark Rendall; Joe Pingue; Ron Lea; Edie Inksetter; Matt Baram; Moni Ogunsuyi; Brad Austin; Stuart Hughes; Jim Monaco; Clare Coulter; Hume Baugh; Tammy Boundy; Jaclyn Vogl; James Downing; Jai Jai Jones; Bruce Beaton; Frank Moore; James Madge; Ian D. Clark; Mishka Thébaud; Taylor Brunatti; Addyson Douglas; Emma Elle Paterson; Valerie O'Connor; Chris Owens; Rick Hughes; Erik Snider; Jason Blicker; Sam Rosenthal; Daniel Goldenberg; Eoin Duffy; Craig Warnock; Tom Barnett; Ben Ball; Iona Rose Mackay; Samantha Espie; Fiona Mongillo; Aidan Gouveia; Don Shaxon; Charlie Seminerio; Russell Yuen; Michael Gordin Shore; Pief Weyman; Kerry Ann Doherty; Nabil Traboulsi; Michael Hough; Robert J. Tavenor; Raechel Fisher; Randy Thomas; Stefanie Martino; Myron Ron Reider; Sharon Wilcox; Gavin Pounds; Joshua Michael St. John; Chloe Madison; Benny Shilling; Brie Watson; Duke Robinson; Craig Burnatowski; Lorne Monroe; Peter Deiwick; Chris Gleason; Taylor Bernier; Patch Darragh; Domingos Andrade; Dina Roudman; Katie Layne; Salvatore Marcellino; Marvin Karon; Duane Keogh; Mary Krohnert; James Lucas Cruickshank; Henos Girma; Elliot Hunter Self; Ross Cameron Bruce Fraser; Eamon Bernard Fraser; Niamh Carolan; Michelle Doiron; Drew Catherine; Dion Yorkie; Sebb Argo; Miles Carney; David Yee; Kate Wheeler; Peter McGann; Gary Hetzler; Tara Flynn; Emily Mitchell";"History; Drama";"https://letterboxd.com/film/the-apprentice-2024/"
2025;"The Gorge";2,93;"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.";"Scott Derrickson";"Miles Teller; Anya Taylor-Joy; Sigourney Weaver; Ṣọpẹ́ Dìrísù; William Houston; Kobna Holdbrook-Smith; James Marlowe; Julianna Kurokawa; Ruta Gedmintas; Oliver Trevena";"Romance; Science Fiction; Thriller";"https://letterboxd.com/film/the-gorge-2025/"
2021;"Nightmare Alley";3,44;"An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.";"Guillermo del Toro";"Bradley Cooper; Cate Blanchett; Toni Collette; Willem Dafoe; Richard Jenkins; Rooney Mara; Ron Perlman; Mary Steenburgen; David Strathairn; Mark Povinelli; Peter MacNeill; Holt McCallany; Paul Anderson; Lara Jean Chorostecki; Jim Beaver; Clifton Collins Jr.; Tim Blake Nelson; David Hewlett; Sarah Mennell; Mike Hill; Caleb Ellsworth-Clark; Dian Bachar; Troy James; Matthew MacCallum; Samantha Rodes; Jesse Buck; Perry Mucci; Bill MacDonald; Dan Lett; Catherine McGregor; Martin Julien; Natalie Brown; Daniel Falk; Tim Post; Will Conlon; Stephen McHattie; James Collins; Lili Connor; Danny Waugh; Walter Rinaldi; Andrew Locke; Calvin Desautels; Derrick Moore; Linden Porco; Grant Bradley; Dani Klupsch; Vikki Ring; Vanessa Botbyl; Michael Bridgeman; Charles Langille; Paul Taylor; Clyde Whitham; Romina Power; Keith Lukowski";"Drama; Crime; Thriller";"https://letterboxd.com/film/nightmare-alley-2021/"
2024;"Godzilla × Kong: The New Empire";2,69;"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.";"Adam Wingard";"Rebecca Hall; Brian Tyree Henry; Dan Stevens; Kaylee Hottle; Alex Ferns; Fala Chen; Rachel House; Ron Smyck; Chantelle Jamieson; Greg Hatton; Kevin Copeland; Tess Dobre; Tim Carroll; Anthony Brandon Wong; Sophia Emberson-Bain; Chika Ikogwe; Vincent B. Gorce; Zhou Yeye; Jamaliah Othman; Nick Lawler; Jordy Campbell; Cassie Riley; Robert Clavero; Patrick Moroney";"Science Fiction; Adventure; Action";"https://letterboxd.com/film/godzilla-kong-the-new-empire/"
2023;"When Evil Lurks";3,53;"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.";"Demián Rugna";"Ezequiel Rodríguez; Demián Salomón; Silvina Sabater; Luis Ziembrowski; Marcelo Michinaux; Emilio Vodanovich; Virginia Garófalo; Paula Rubinsztein; Lucrecia Niron Talazac; Isabel Quinteros; Desirée Salgueiro; Federico Liss; Ricardo Velázquez; Jorge Prado; Diego Sampayo; Pedro Larrabide; Cleo Díaz; Agostina Aguilera; Julián César López; Maria Celina Carbajal; Pablo Galarza; Gonzalo Galarza; Berta Muñiz";"Horror; Thriller";"https://letterboxd.com/film/when-evil-lurks/"
2023;"Nimona";3,96;"A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.";"Nick Bruno";"Chloë Grace Moretz; Riz Ahmed; Eugene Lee Yang; Frances Conroy; Lorraine Toussaint; Beck Bennett; RuPaul; Indya Moore; Julio Torres; Sarah Sherman; ND Stevenson; Mia Collins; Zayaan Kunwar; Charlotte Aldrich; Karen Ryan; Nick Bruno; Troy Quane; Julie Zackary; Randy Trager; Christopher Campbell; Cindy Slattery; Matthew J. Munn; Sommersill Tarabek; Sebastian Trager; Sadie Trager; Taryn Bruno; Lincoln Davis; Lylianna Eugene; Tim Nordquist; Maurissa Horwitz; Jake Bruno; Jarrett Bruno; Wesley Turner";"Drama; Fantasy; Adventure; Animation; Family; Action; Science Fiction";"https://letterboxd.com/film/nimona-2023/"
2023;"Maestro";3,14;"A towering and fearless love story chronicling the lifelong relationship between Leonard Bernstein and Felicia Montealegre Cohn Bernstein. A love letter to life and art, Maestro at its core is an emotionally epic portrayal of family and love.";"Bradley Cooper";"Carey Mulligan; Bradley Cooper; Matt Bomer; Vincenzo Amato; Greg Hildreth; Michael Urie; Brian Klugman; Nick Blaemire; Mallory Portnoy; Alexandra Santini; Jarrod LaBine; Sarah Silverman; Kate Eastman; William Hill; Valéry Lessard; Renée Stork; Tim Rogan; Sara Sanderson; Yasen Peyankov; Julia Aku; Benjamin Freemantle; Harrison Coll; Sebastian Villarini-Velez; Dario Natarelli; Ryan Steele; Ricky Ubeda; Carlos Sánchez Falú; Jeanette Delgado; Sara Esty; Ahmad Simmons; Kyle Coffman; Byron Tittle; Yesenia Ayala; Skye Mattox; Halli Toland; Leigh-Ann Esty; Gaby Diaz; Tanairi Sade Vazquez; Lea Cooper; Soledad Campos; Zachary Booth; Miriam Shor; Maya Hawke; Scott Ellis; James Cusati-Moyer; John Kroft; Scott Drummond; Gideon Glick; Josh Hamilton; June Gable; Sam Nivola; Alexa Swinton; Mike Mitarotondo; Colin Anderson; Kevin Thompson; Rosa Feola; Isabel Leonard; Miller Bugliari; Atika Greene; Bernard Kruger; Gabe Fazio; Jordan Dobson; Oscar Pavlo; Booch O'Connell";"Drama; Music; Romance";"https://letterboxd.com/film/maestro-2023/"
2022;"Terrifier 2";2,72;"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art’s evil intent.";"Damien Leone";"David Howard Thornton; Lauren LaVera; Elliott Fullam; Sarah Voigt; Kailey Hyman; Casey Hartnett; Charlie McElveen; Amelie McLain; Johnath Davis; Samantha Scaffidi; Leah Voysey; Chris Irvine; Felissa Rose; Owen Myre; Griffin Santopietro; Devon Roth; Amy Russ; Cory DuVal; Staci Dickerson; Marisa Bertani; Tamara Glynn; Reid Richards; Sarah Grace Sanders; Ava O'Donnell; Briana Calcagno; Katie Maguire; Gilbrando Acevedo; Mark A. Langston; Wesley Holloway; Geordie McGillivray; Rob Gabriele; Phil Falcone; Thomas Rickman; Thomas Smith; Miche Brill; Sarah Brill; Robert Privitera; Rachel Keefe; Jamie Root; Scott Klausen; Jenna Kanell; Catherine Corcoran; Gino Cafarelli; Matt McAllister; Erick Zamora; Damien Leone; Rick Styczynski; Loren W. Lepre; Michael Leavy; Ryan James; Ross Caudill Jr.; Matthew Hammond; Jonathan A. Streetzel; Craig Sapenoff; Jackie Adragna; Steven Kiseleski; Johnny Ferri; Joshua Kirpach; Sheri Fairchild; Jason Leavy; Steven Della Salla; Elizabeth Piper S.; Marcus Slabine; Nick Ford";"Thriller; Horror";"https://letterboxd.com/film/terrifier-2/"
